,drug_name,condition,nltkRScore,useful_count_encoded
741,2185,142,1,2
742,2182,175,3,1
743,1874,175,1,1
744,1014,87,1,2
745,1638,625,1,1
746,758,162,1,1
747,1874,175,1,1
748,1924,175,3,1
749,831,175,3,1
750,1272,175,1,1
751,3617,778,3,2
752,814,133,1,2
753,1272,175,1,1
754,2595,241,2,2
755,1108,346,3,2
756,3000,273,3,2
757,3267,542,1,1
758,2585,889,3,1
759,828,889,3,2
760,1272,175,1,1
761,3619,572,1,2
762,2618,314,3,2
763,1876,175,3,1
764,3409,721,1,2
765,2157,87,3,2
766,1172,283,1,1
767,773,133,3,2
768,1265,175,1,1
769,3382,633,1,1
770,2360,484,3,2
771,2672,737,1,1
772,1874,314,3,1
773,3132,183,1,1
774,384,162,1,1
775,290,461,3,2
776,3525,80,3,1
777,1916,80,3,2
778,1755,175,3,1
779,3451,273,3,1
780,2166,749,3,1
781,1264,175,3,1
782,881,633,3,2
783,384,192,3,2
784,2091,633,3,2
785,332,87,3,1
786,1096,87,1,1
787,858,420,3,2
788,2923,474,1,2
789,1272,175,3,1
790,864,175,3,1
791,715,325,1,2
792,3106,356,3,1
793,1144,609,1,1
794,1265,175,3,1
795,668,869,1,1
796,2130,874,2,1
797,1263,175,3,1
798,229,867,1,2
799,1272,175,1,1
800,3054,555,1,2
801,180,637,1,2
802,3350,283,3,1
803,2446,175,3,1
804,557,133,3,2
805,1096,87,3,1
806,2052,346,1,2
807,2292,743,1,2
808,488,183,1,1
809,2701,637,3,1
810,21,87,1,2
811,322,133,1,1
812,1969,484,2,2
813,3076,175,3,1
814,3414,414,1,1
815,3273,419,1,2
816,3044,567,3,2
817,1616,817,1,2
818,2076,856,3,1
819,2440,601,1,1
820,563,633,3,2
821,1140,387,3,1
823,1915,601,1,1
824,1096,175,1,1
825,1026,148,3,2
826,1826,174,3,1
827,1603,633,1,2
828,2009,183,2,1
829,3305,87,3,1
830,2887,80,3,2
831,1770,80,1,2
832,1792,174,3,2
833,2754,134,3,2
834,1265,175,3,1
835,3117,87,1,1
836,1142,369,3,2
837,773,637,1,1
838,3472,633,3,2
839,3625,273,2,2
840,2009,183,3,1
841,3095,80,1,1
842,1310,675,3,1
843,2833,159,1,2
844,1272,175,1,1
845,2853,474,3,2
846,1439,541,3,1
847,1955,419,1,2
848,1096,175,1,1
849,3003,175,3,1
850,2701,273,1,2
851,1949,889,3,1
852,3117,867,3,1
853,1446,541,3,2
854,1108,633,1,1
855,3567,567,3,1
856,967,273,1,2
857,1619,133,1,2
858,1918,174,1,1
859,270,175,1,1
860,2120,164,1,1
861,3664,314,3,1
862,284,174,3,1
863,1633,633,1,1
864,3076,175,3,1
865,3072,203,1,1
866,3179,223,3,2
867,1874,314,3,1
868,1113,311,1,1
869,1947,474,3,2
870,882,128,3,2
871,2302,175,3,1
872,773,474,1,2
873,2845,420,1,2
874,1059,241,1,1
875,743,192,3,1
876,1406,273,3,2
877,3222,454,1,1
878,3451,273,3,1
879,1406,522,1,2
880,1593,419,1,2
881,1947,133,1,1
882,2043,84,1,1
883,1915,283,3,1
884,284,273,1,2
885,731,273,1,1
886,1862,784,3,1
887,2967,547,1,1
889,1204,87,3,1
890,1494,552,1,1
891,199,474,1,1
892,3419,133,1,2
893,1204,87,3,1
894,1446,133,3,1
895,3625,680,1,2
896,1411,655,3,1
897,1266,175,3,1
898,1864,770,1,2
899,1327,187,1,2
900,199,474,3,2
901,3032,175,1,1
902,2100,721,1,1
903,1924,175,3,1
904,1272,175,3,1
905,1631,434,3,1
906,1207,144,2,1
907,660,162,1,1
908,3437,789,2,1
909,3222,454,3,1
910,1263,318,3,1
911,614,174,1,1
912,1947,474,3,2
913,1756,175,1,1
914,1263,175,3,1
915,449,249,1,1
916,2120,164,3,1
917,522,374,1,1
918,2701,273,1,2
919,2199,250,1,1
920,391,419,1,1
921,2381,175,3,1
922,3513,633,1,1
923,2302,73,3,1
924,2052,471,1,2
925,2701,273,2,1
926,1582,746,1,2
927,3482,273,3,2
928,1007,633,1,1
929,3518,522,1,1
930,1873,273,1,2
931,3447,175,1,1
932,3482,273,3,2
933,3654,174,3,2
934,2276,175,1,1
935,2997,174,3,1
936,971,865,1,2
937,3075,609,3,1
938,2043,175,2,1
939,3132,183,3,2
940,731,273,3,1
941,1446,633,3,2
942,1321,382,1,2
943,3132,183,3,1
944,758,87,1,1
945,1164,484,3,1
946,1406,273,3,2
947,2293,633,1,2
948,2419,572,1,1
949,379,103,3,1
950,1266,175,3,1
951,231,784,3,2
952,725,176,1,2
953,553,613,3,2
954,3482,273,3,1
955,1883,369,3,2
956,1263,175,1,1
957,3032,175,1,1
958,1460,428,3,1
960,2862,522,1,2
961,3076,175,1,1
962,1901,243,1,2
963,2498,759,3,1
964,1266,175,3,1
965,2340,175,1,1
966,2114,419,1,2
967,971,630,3,1
968,1631,434,3,1
969,2549,162,1,1
970,1104,241,3,1
971,2488,630,3,2
972,1714,80,2,1
973,1826,174,3,2
974,3267,770,1,1
975,1631,434,3,1
976,3260,746,1,1
977,2672,633,1,2
978,3166,472,3,1
979,3080,273,3,1
980,1924,175,1,1
981,2932,148,3,2
982,3524,420,2,1
983,1023,633,1,1
984,660,784,3,2
985,2165,474,1,2
986,3483,133,1,1
987,1887,101,3,1
988,1096,175,1,1
989,2135,175,1,1
990,1099,87,3,1
991,1911,860,3,2
992,988,249,1,1
993,908,87,3,2
994,1879,860,3,1
995,1007,633,2,2
996,3483,273,3,2
997,231,805,1,1
998,2498,759,1,1
999,2302,175,3,1
1000,3473,633,1,1
1001,2120,162,1,1
1002,1612,633,2,1
1003,3648,789,3,2
1004,1883,369,1,2
1005,3267,346,3,2
1006,2807,356,3,2
1007,731,273,3,2
1008,277,746,1,2
1009,1668,175,3,1
1010,3132,183,3,2
1011,3531,174,1,2
1012,90,80,3,2
1013,3117,163,3,2
1014,831,175,1,1
1015,2925,409,3,2
1016,1883,133,3,2
1017,2757,234,3,1
1018,3533,273,3,2
1019,1271,622,1,1
1020,948,175,3,1
1021,1265,175,3,1
1022,2524,134,1,1
1023,1175,273,2,2
1024,2120,162,1,1
1025,1864,770,1,2
1026,563,497,1,1
1027,1033,419,2,2
1028,1917,419,1,2
1029,1231,273,3,1
1030,2585,889,1,1
1031,2701,273,1,1
1032,328,80,3,1
1033,225,300,3,2
1034,1104,241,1,1
1035,2400,174,1,1
1036,959,281,3,1
1037,1792,637,1,2
1038,1883,133,2,1
1039,555,273,3,2
1040,3600,406,1,1
1041,2005,241,3,1
1042,284,759,3,2
1043,1874,175,1,1
1044,2785,474,3,2
1045,2043,84,1,1
1046,2785,474,1,2
1047,564,225,1,1
1048,1930,538,3,1
1049,511,541,1,1
1050,1007,159,3,1
1051,3345,633,3,2
1052,378,103,1,2
1053,3540,596,3,1
1054,3661,539,1,2
1055,2165,133,1,2
1056,1536,80,1,1
1057,1083,87,3,1
1058,2902,867,3,2
1059,1800,175,1,1
1060,180,133,1,2
1061,1083,87,1,2
1062,1144,609,3,1
1063,3297,474,1,1
1064,967,273,1,2
1065,2114,148,3,2
1066,731,182,1,1
1067,3278,283,3,1
1068,828,889,1,1
1069,983,356,3,2
1070,2750,110,1,2
1071,1761,175,3,1
1072,967,273,3,2
1073,1911,860,3,1
1074,517,522,1,2
1075,2921,633,3,2
1076,660,784,3,2
1077,1266,175,3,1
1078,3068,406,3,1
1079,2831,541,1,1
1080,553,613,1,2
1081,555,273,1,2
1082,1051,174,1,2
1083,2375,633,1,1
1084,234,80,2,1
1085,2965,601,1,2
1086,2341,159,1,2
1087,3247,164,1,1
1088,555,80,3,2
1089,3437,789,3,1
1090,967,273,3,1
1091,384,192,3,1
1092,596,175,1,2
1093,2701,133,3,1
1094,556,601,1,1
1095,48,159,3,2
1096,2119,164,3,2
1097,1792,133,1,2
1098,3156,325,3,2
1099,1371,148,3,2
1100,2481,225,1,2
1101,1762,175,3,1
1102,1366,162,3,2
1103,234,80,1,2
1104,1955,419,1,2
1105,1978,174,3,2
1106,1141,174,3,1
1107,1872,674,1,1
1108,284,174,1,1
1109,2465,765,3,1
1110,1446,133,3,2
1111,2973,474,1,2
1112,773,637,2,1
1113,3625,273,3,2
1114,1173,283,3,1
1115,2302,175,1,1
1116,2802,387,3,1
1117,3000,602,1,2
1118,1446,849,3,2
1119,2164,175,1,1
1120,2701,273,1,2
1121,1916,80,3,2
1122,237,552,3,2
1123,1876,175,3,1
1124,1096,175,1,1
1125,555,273,1,2
1126,3272,542,3,2
1127,1947,133,1,1
1128,653,622,1,2
1129,3625,637,1,1
1130,799,383,3,1
1131,1482,174,1,2
1132,731,273,3,1
1133,190,434,3,1
1134,3625,637,1,2
1135,2302,175,1,1
1136,1668,175,3,2
1137,214,479,1,2
1138,2585,889,3,2
1139,88,87,3,1
1140,1872,176,1,1
1141,3132,183,1,1
1142,1272,175,3,1
1143,1264,175,2,1
1144,1874,314,3,1
1145,3353,474,1,2
1146,2230,630,3,2
1147,2012,524,1,2
1148,1349,522,3,2
1149,2412,326,1,1
1151,1752,283,3,1
1152,214,633,1,2
1153,3357,408,3,2
1154,1272,175,3,1
1155,284,273,3,2
1156,1482,758,1,1
1157,961,175,3,1
1158,1272,175,3,1
1159,2977,671,3,2
1160,1267,84,1,1
1161,2112,541,1,1
1162,2314,736,1,1
1163,773,133,1,1
1164,656,273,3,2
1165,3254,555,3,2
1166,2187,633,1,2
1167,2565,225,1,2
1168,2043,175,1,1
1169,2670,142,1,1
1170,2099,555,3,1
1171,1792,637,1,1
1172,556,889,3,1
1173,1548,723,1,1
1174,474,175,3,1
1175,2109,80,3,1
1176,284,273,2,2
1177,2486,633,1,1
1178,2424,633,2,2
1179,743,778,3,1
1180,1272,175,1,1
1181,556,889,1,2
1182,2135,175,1,1
1183,3153,671,1,1
1184,1265,175,3,1
1185,556,601,1,2
1186,2109,80,3,1
1188,3518,273,1,2
1189,3436,325,1,2
1190,3095,80,3,1
1191,3567,567,1,2
1192,1406,273,2,2
1193,2302,175,1,1
1194,1874,175,1,1
1195,2472,133,2,2
1196,1978,174,1,1
1197,1023,633,1,1
1198,984,80,1,1
1199,49,633,1,1
1200,3570,87,3,1
1201,2345,175,3,1
1202,199,474,1,1
1203,3278,283,3,1
1204,1007,159,1,2
1205,1446,743,1,2
1206,1365,711,3,1
1207,214,737,1,1
1208,2085,675,3,1
1209,1680,746,3,2
1210,2164,175,3,1
1211,2576,308,1,1
1212,1536,80,3,1
1213,3251,203,1,2
1214,2962,346,3,2
1215,3451,369,1,2
1216,1883,273,3,2
1217,3000,273,1,2
1218,2524,134,1,1
1219,1272,175,3,1
1220,633,622,1,2
1221,1266,175,1,1
1222,3625,134,1,1
1223,1619,105,3,2
1224,788,387,3,1
1225,2804,419,1,2
1226,2187,633,1,1
1227,2836,616,3,1
1228,2528,273,1,1
1229,1266,175,1,1
1230,1272,175,3,1
1231,3087,721,3,2
1232,591,541,1,1
1233,1304,420,1,1
1234,656,273,1,2
1235,1083,192,3,1
1236,2831,541,3,1
1237,328,80,3,1
1238,2044,655,1,1
1239,544,143,3,2
1240,984,80,1,1
1241,2157,784,1,1
1242,1073,87,3,1
1243,1246,151,1,2
1244,2120,164,1,1
1245,2302,175,1,1
1246,1266,175,3,2
1247,3000,134,1,2
1248,1265,538,3,2
1249,21,10,3,1
1250,1883,369,3,2
1251,2043,318,1,2
1252,1231,484,1,1
1253,1266,175,3,1
1254,1121,103,3,1
1255,967,273,3,1
1256,864,175,1,1
1257,2410,143,3,2
1258,3032,175,3,1
1259,1974,474,1,1
1260,1874,314,3,1
1261,1593,419,1,2
1262,270,175,3,1
1263,3117,162,3,1
1264,2157,87,1,1
1265,25,541,1,2
1266,451,87,2,1
1267,3297,474,3,2
1268,3254,555,1,1
1269,2175,311,1,1
1270,2585,889,1,2
1271,2831,541,1,1
1272,831,175,3,1
1273,555,273,1,2
1274,2043,84,3,1
1275,2588,569,3,1
1276,1272,175,3,1
1277,384,216,1,1
1278,1263,84,1,1
1279,3483,273,1,1
1280,3411,630,3,2
1281,1382,747,1,2
1282,984,80,1,1
1283,1930,87,1,2
1284,1769,356,3,2
1285,3437,789,3,1
1286,1225,175,3,1
1287,1935,291,3,2
